[[634. 390.  95. 245.]]
[[632. 386.  97. 250.]]
[[630. 384.  97. 250.]]
[[628. 381.  97. 250.]]
[[628. 380.  95. 245.]]
[[626. 377.  97. 250.]]
[[623. 372.  99. 255.]]
[[622. 369.  99. 255.]]
[[622. 367.  99. 255.]]
[[622. 367.  97. 250.]]
[[620. 365.  97. 250.]]
[[620. 363.  97. 250.]]
[[620. 362.  95. 245.]]
[[619. 358.  97. 250.]]
[[620. 357.  95. 245.]]
[[620. 356.  95. 245.]]
[[620. 353.  95. 245.]]
[[620. 352.  95. 245.]]
[[620. 349.  95. 245.]]
[[620. 346.  95. 245.]]
[[620. 344.  95. 245.]]
[[620. 342.  95. 245.]]
[[620. 340.  95. 245.]]
[[620. 337.  95. 245.]]
[[620. 333.  95. 245.]]
[[620. 331.  95. 245.]]
[[620. 329.  95. 245.]]
[[620. 327.  95. 245.]]
[[620. 324.  95. 245.]]
[[620. 322.  95. 245.]]
[[620. 318.  97. 250.]]
[[620. 317.  95. 245.]]
[[620. 314.  97. 250.]]
[[620. 314.  95. 245.]]
[[621. 314.  95. 245.]]
[[620. 310.  97. 250.]]
[[621. 311.  95. 245.]]
[[621. 310.  95. 245.]]
[[621. 309.  95. 245.]]
[[621. 309.  95. 245.]]
[[621. 308.  95. 245.]]
[[621. 307.  95. 245.]]
[[621. 307.  95. 245.]]
[[621. 307.  95. 245.]]
[[621. 307.  95. 245.]]
[[621. 306.  95. 245.]]
[[622. 307.  95. 245.]]
[[622. 306.  95. 245.]]
[[622. 307.  95. 245.]]
[[622. 307.  95. 245.]]
[[622. 307.  95. 245.]]
[[622. 307.  95. 245.]]
[[622. 308.  95. 245.]]
[[622. 308.  95. 245.]]
[[622. 309.  95. 245.]]
[[622. 309.  95. 245.]]
[[622. 310.  95. 245.]]
[[622. 310.  95. 245.]]
[[622. 312.  95. 245.]]
[[622. 313.  95. 245.]]
[[622. 316.  93. 240.]]
[[621. 315.  95. 245.]]
[[621. 316.  95. 245.]]
[[621. 316.  95. 245.]]
[[621. 318.  95. 245.]]
[[620. 319.  95. 245.]]
[[620. 320.  95. 245.]]
[[620. 320.  95. 245.]]
[[620. 321.  95. 245.]]
[[620. 322.  95. 245.]]
[[620. 323.  95. 245.]]
[[619. 323.  95. 245.]]
[[619. 325.  95. 245.]]
[[619. 325.  95. 245.]]
[[619. 326.  95. 245.]]
[[619. 326.  95. 245.]]
[[619. 326.  95. 245.]]
